,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Built_Type,Built_Size,Price_sqft,Price_room,Rooms_sqft
2,dutamas,1030000,3.0,4.0,2.0,Condominium,Partly Furnished,Built-up,1875.0,549.3333333333334,343333.3333333333,625.0
7,taman tun dr ismail,2600000,5.0,4.0,4.0,Semi-detached House,Partly Furnished,Land area,3600.0,722.2222222222222,520000.0,720.0
9,sri petaling,385000,3.0,2.0,1.0,Apartment,Partly Furnished,Built-up,904.0,425.88495575221236,128333.33333333333,301.3333333333333
21,damansara heights,1550000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,904.0,1714.6017699115043,1550000.0,904.0
24,bangsar south,490000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,520.0,942.3076923076923,490000.0,520.0
33,ampang hilir,460000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,613.0,750.4078303425775,460000.0,613.0
35,klcc,2400000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1006.0,2385.685884691849,1200000.0,503.0
43,klcc,2300000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
44,damansara heights,4200000,6.0,5.0,5.0,Bungalow,Partly Furnished,Land area,5274.0,796.3594994311718,700000.0,879.0
47,mont kiara,1080000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,896.0,1205.357142857143,540000.0,448.0
48,mont kiara,1150000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1200.0,958.3333333333334,383333.3333333333,400.0
50,bukit jalil,930000,4.0,3.0,2.0,Condominium,Partly Furnished,Built-up,1513.0,614.6728354263054,232500.0,378.25
52,bangsar south,780000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,880.0,886.3636363636364,390000.0,440.0
55,kl city,1800000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1244.0,1446.9453376205788,900000.0,622.0
60,ampang hilir,4800000,5.0,6.0,3.0,Condominium,Partly Furnished,Built-up,4300.0,1116.2790697674418,960000.0,860.0
65,klcc,1698800,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1227.0,1384.5150774246129,849400.0,613.5
67,kl sentral,3500000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,1648.0,2123.78640776699,3500000.0,1648.0
68,klcc,1500000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1022.0,1467.7103718199608,750000.0,511.0
69,klcc,2300000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
81,klcc,1799000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,720.0,2498.6111111111113,1799000.0,720.0
87,klcc,2300000,1.0,1.0,2.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
90,klcc,1714000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,700.0,2448.5714285714284,1714000.0,700.0
95,klcc,2300000,1.0,1.0,2.0,Serviced Residence,Partly Furnished,Built-up,1046.0,2198.852772466539,2300000.0,1046.0
100,klcc,1783000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,976.0,1826.844262295082,891500.0,488.0
109,bukit jalil,630000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,791.0,796.4601769911504,315000.0,395.5
112,klcc,1780000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,728.0,2445.054945054945,1780000.0,728.0
121,klcc,2000000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,1087.0,1839.9264029438823,2000000.0,1087.0
125,klcc,1250000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,736.0,1698.3695652173913,625000.0,368.0
128,klcc,1350000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1050.0,1285.7142857142858,675000.0,525.0
129,bangsar south,490000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,500.0,980.0,490000.0,500.0
131,bangsar south,800000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,825.0,969.6969696969697,400000.0,412.5
135,klcc,1000000,1.0,1.0,1.0,Condominium,Fully Furnished,Built-up,657.0,1522.0700152207,1000000.0,657.0
136,sungai besi,448800,3.0,3.0,1.0,Serviced Residence,Unfurnished,Built-up,1045.0,429.4736842105263,149600.0,348.3333333333333
142,klcc,8343600,3.0,3.0,2.0,Condominium,Unknown,Built-up,2454.0,3400.0,2781200.0,818.0
143,taman desa,500000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,715.0,699.3006993006993,250000.0,357.5
150,klcc,3500000,3.0,3.0,1.0,Serviced Residence,Fully Furnished,Built-up,1560.0,2243.5897435897436,1166666.6666666667,520.0
151,mont kiara,2200000,4.0,4.0,2.0,Condominium,Unknown,Built-up,2243.0,980.8292465448061,550000.0,560.75
157,klcc,1850000,3.0,1.0,1.0,Condominium,Partly Furnished,Built-up,2174.0,850.9659613615455,616666.6666666666,724.6666666666666
160,jalan klang lama (old klang road),509000,2.0,2.0,1.0,Serviced Residence,Unknown,Built-up,797.0,638.6449184441656,254500.0,398.5
171,klcc,1100000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,880.0,1250.0,550000.0,440.0
174,sentul,670000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1085.0,617.5115207373271,223333.33333333334,361.6666666666667
178,desa parkcity,1350000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1292.0,1044.891640866873,675000.0,646.0
179,klcc,2300000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
180,klcc,1900000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,915.0,2076.502732240437,950000.0,457.5
181,klcc,1450000,2.0,2.0,2.0,Serviced Residence,Fully Furnished,Built-up,1090.0,1330.2752293577983,725000.0,545.0
183,klcc,1300000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,925.0,1405.4054054054054,1300000.0,925.0
184,klcc,3600000,3.0,4.0,2.0,Serviced Residence,Partly Furnished,Built-up,3897.0,923.7875288683603,1200000.0,1299.0
187,taman tun dr ismail,5350000,6.0,5.0,3.0,Bungalow,Partly Furnished,Land area,7200.0,743.0555555555555,891666.6666666666,1200.0
194,setapak,780000,3.0,3.0,2.0,Condominium,Partly Furnished,Built-up,1368.0,570.1754385964912,260000.0,456.0
195,desa parkcity,1380000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1292.0,1068.1114551083592,690000.0,646.0
197,klcc,1300000,1.0,1.0,1.0,Serviced Residence,Unknown,Built-up,925.0,1405.4054054054054,1300000.0,925.0
198,klcc,1268000,3.0,3.0,1.0,Condominium,Fully Furnished,Built-up,1619.0,783.1995058678197,422666.6666666667,539.6666666666666
202,klcc,2600000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1184.0,2195.945945945946,1300000.0,592.0
207,klcc,1400000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1050.0,1333.3333333333333,700000.0,525.0
209,damansara heights,6500000,6.0,5.0,4.0,Bungalow,Partly Furnished,Land area,7200.0,902.7777777777778,1083333.3333333333,1200.0
210,mont kiara,1800000,4.0,4.0,2.0,Condominium,Partly Furnished,Built-up,1830.0,983.6065573770492,450000.0,457.5
212,bangsar south,350000,1.0,1.0,1.0,Apartment,Unknown,Built-up,495.0,707.070707070707,350000.0,495.0
219,kl city,1177000,2.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,717.0,1641.5620641562064,588500.0,358.5
222,wangsa maju,700000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1152.0,607.6388888888889,233333.33333333334,384.0
226,klcc,1300000,2.0,2.0,2.0,Condominium,Fully Furnished,Built-up,871.0,1492.5373134328358,650000.0,435.5
228,kl city,490000,4.0,2.0,2.0,Condominium,Unfurnished,Built-up,1065.0,460.09389671361504,122500.0,266.25
230,klcc,1450000,2.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,1050.0,1380.952380952381,725000.0,525.0
237,klcc,2700000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1195.0,2259.4142259414225,1350000.0,597.5
242,setapak,240000,3.0,2.0,1.0,Condominium,Unknown,Built-up,850.0,282.3529411764706,80000.0,283.3333333333333
244,klcc,1000000,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,751.0,1331.5579227696405,1000000.0,751.0
245,klcc,1000000,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,751.0,1331.5579227696405,1000000.0,751.0
256,klcc,2300000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1046.0,2198.852772466539,2300000.0,1046.0
257,klcc,2300000,1.0,1.0,2.0,Serviced Residence,Partly Furnished,Built-up,1046.0,2198.852772466539,2300000.0,1046.0
260,klcc,880000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,710.0,1239.4366197183099,880000.0,710.0
265,mont kiara,1100000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1200.0,916.6666666666666,366666.6666666667,400.0
266,klcc,1238000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,736.0,1682.0652173913043,619000.0,368.0
267,bangsar south,750000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,823.0,911.3001215066829,375000.0,411.5
270,mont kiara,1500000,3.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1200.0,1250.0,500000.0,400.0
275,klcc,2700000,2.0,2.0,2.0,Serviced Residence,Fully Furnished,Built-up,1184.0,2280.4054054054054,1350000.0,592.0
280,klcc,1506300,2.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,1020.0,1476.764705882353,753150.0,510.0
282,ampang,3680000,7.0,8.0,4.0,Bungalow,Unfurnished,Land area,6300.0,584.1269841269841,525714.2857142857,900.0
287,bangsar south,1050000,3.0,2.0,2.0,Condominium,Fully Furnished,Built-up,1485.0,707.070707070707,350000.0,495.0
289,klcc,1200019,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,577.0,2079.7556325823225,600009.5,288.5
292,klcc,1999000,2.0,2.0,1.0,Serviced Residence,Unknown,Built-up,1271.0,1572.7773406766325,999500.0,635.5
299,klcc,2210000,3.0,3.0,2.0,Condominium,Fully Furnished,Built-up,1502.0,1471.3715046604527,736666.6666666666,500.6666666666667
300,klcc,1420000,2.0,2.0,1.0,Condominium,Fully Furnished,Built-up,976.0,1454.9180327868853,710000.0,488.0
302,klcc,1238000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,736.0,1682.0652173913043,619000.0,368.0
305,klcc,1139000,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,751.0,1516.6444740346205,1139000.0,751.0
306,klcc,2930000,2.0,2.0,2.0,Serviced Residence,Fully Furnished,Built-up,1114.0,2630.16157989228,1465000.0,557.0
310,country heights damansara,8000000,7.0,7.0,6.0,Bungalow,Partly Furnished,Land area,10600.0,754.7169811320755,1142857.142857143,1514.2857142857142
315,bangsar,1600000,3.0,2.0,2.0,Townhouse,Partly Furnished,Built-up,2400.0,666.6666666666666,533333.3333333334,800.0
327,bangsar south,490000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,520.0,942.3076923076923,490000.0,520.0
328,klcc,3090000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1572.0,1965.648854961832,1545000.0,786.0
331,jalan klang lama (old klang road),350000,3.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,950.0,368.42105263157896,116666.66666666667,316.6666666666667
332,klcc,1230000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,850.0,1447.0588235294117,1230000.0,850.0
342,klcc,3900000,2.0,2.0,2.0,Serviced Residence,Partly Furnished,Built-up,1636.0,2383.8630806845968,1950000.0,818.0
343,klcc,1300000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,925.0,1405.4054054054054,1300000.0,925.0
345,bukit jalil,438000,3.0,2.0,1.0,Apartment,Partly Furnished,Built-up,1018.0,430.25540275049116,146000.0,339.3333333333333
347,setiawangsa,590000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1196.0,493.31103678929765,196666.66666666666,398.6666666666667
349,klcc,1000000,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,751.0,1331.5579227696405,1000000.0,751.0
352,klcc,2400000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1006.0,2385.685884691849,1200000.0,503.0
358,klcc,1780000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,728.0,2445.054945054945,1780000.0,728.0
360,klcc,2300000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
363,klcc,1000000,1.0,1.0,1.0,Condominium,Partly Furnished,Built-up,751.0,1331.5579227696405,1000000.0,751.0
371,klcc,2300000,1.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1023.0,2248.289345063539,2300000.0,1023.0
375,klcc,2400000,2.0,2.0,1.0,Serviced Residence,Partly Furnished,Built-up,1006.0,2385.685884691849,1200000.0,503.0
377,klcc,2440000,1.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1023.0,2385.1417399804495,2440000.0,1023.0
379,sri hartamas,7300000,6.0,6.0,6.0,Bungalow,Partly Furnished,Land area,7300.0,1000.0,1216666.6666666667,1216.6666666666667
381,klcc,3200000,2.0,2.0,1.0,Serviced Residence,Unknown,Built-up,1572.0,2035.6234096692112,1600000.0,786.0
383,kl sentral,783990,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,650.0,1206.1384615384616,783990.0,650.0
387,taman tun dr ismail,1150000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,1560.0,737.1794871794872,383333.3333333333,520.0
